"Hatch_Date","Retention_Probability","Estimate_Type","Flow_Scenario","Year"
1930-06-21,"0.0361377524812081","New;0.9","Alt2b",1930
1949-06-21,"0.408868956725728","New;0.9","Alt2b",1949
1953-06-14,"0","New;0.9","Alt2b",1953
1966-06-21,"0.0238919902929755","New;0.9","Alt2b",1966
1975-07-02,"0.902788204176043","New;0.9","Alt2b",1975
1980-06-21,"0.110476184559369","New;0.9","Alt2b",1980
1982-06-21,"0.999844618335739","New;0.9","Alt2b",1982
1983-06-21,"0.152230909678927","New;0.9","Alt2b",1983
1985-06-21,"0.00505691051254081","New;0.9","Alt2b",1985
1986-06-14,"0.999999990756556","New;0.9","Alt2b",1986
1987-06-21,"0.499852410567178","New;0.9","Alt2b",1987
1994-06-21,"0","New;0.9","Alt2b",1994
2000-06-21,"0.00529952209823031","New;0.9","Alt2b",2000
2011-06-25,"1.48771790608805e-05","New;0.9","Alt2b",2011
2012-06-21,"0.0144705781878344","New;0.9","Alt2b",2012
